period,title
2022-03-08,Bolsonaro diz a evangélicos que dirige o país para o lado que eles quiserem
2022-03-23,"Comentário do Dia: Pequenas (e algumas nem tão pequenas) igrejas, grandes negócios - Congresso em Foco"
2022-02-23,Bolsonaro critica PT por invasão de igreja e comemoração de aborto
2022-02-25,"Governo Bolsonaro assedia pastores para evitarem Moro, diz líder evangélico"
2022-03-04,O que explica o ainda forte apoio dos evangélicos a Bolsonaro?
2022-03-22,Bolsonaro lança programa em Porto Nacional e promete empenho na construção da ponte de Caseara
2022-02-23,Bancada religiosa pressiona Lira contra jogos de azar e conta com veto de Bolsonaro
2022-03-04,Deputada Carla Zambelli apresenta projeto para criminalizar invasão de igrejas
2022-02-21,"Bolsonaro tem 40% e Lula 30% das intenções de voto entre evangélicos, diz CNT"
2021-12-25,"Bolsonaro joga com religiões por popularidade, diz 1ª mulher a liderar conselho de igrejas cristãs"
2022-02-07,Governo Bolsonaro cobra dívida de igreja evangélica – boa sorte
2022-02-08,Bolsonaro diz ter acionado ministérios contra grupo que invadiu Igreja em ato por Moïse
2022-02-02,"Com aval de Bolsonaro, Congresso anistia dívida bilionária de igrejas"
2021-07-14,Um olhar sobre a bolsonarização das igrejas no Brasil
2021-09-28,Ministro derruba veto de Bolsonaro e beneficia igrejas aliadas em TV a cabo
2021-09-06,80% das dívidas das igrejas estão concentradas em 16 entidades religiosas
2022-01-07,Como líderes evangélicos usam redes para apoiar ato pró-Bolsonaro
2021-04-20,"Lula mira redes sociais para atrair evangélicos, e Bolsonaro busca fidelizar igrejas"
2021-09-28,Bolsonaro foca nos evangélicos de olho na eleição de 2022
2022-02-18,Dezesseis entidades religiosas concentram 80% das dívidas das igrejas
2022-01-20,Crise e pandemia corroem influência de igrejas e aprovação de Bolsonaro
2021-08-18,"Congresso promulga isenção de IPTU para igrejas. Religiosos começam a se afastar de Bolsonaro, diz jornal"
2021-04-10,Evangélicos podem trocar Bolsonaro por Moro nas eleições de 2022?
2022-01-14,Bolsonaro veta perdão a dívidas de igrejas e sugere derrubada do veto
2021-11-10,Bolsonaro participa de cerimônia evangélica no Pará
2021-08-28,"Sem máscara, Bolsonaro vai à igreja e prega contra medidas de isolamento social"
2021-09-08,Moro busca aproximação com evangélicos e investe em aliados de Bolsonaro
2021-04-05,PT se aproxima de igrejas e caminhoneiros para neutralizar Bolsonaro - ISTOÉ Independente
2022-02-06,"Sem máscara, Bolsonaro causa aglomeração ao participar de evento em igreja de Goiânia"
2021-04-22,Pastores evangélicos partem para o tudo ou nada ao saírem na foto com Bolsonaro
2021-12-04,"Dívidas de igrejas com Imposto de Renda e INSS chegam a R$ 1,9 bilhão"
2021-04-07,A aposta arriscada de Bolsonaro para conquistar o voto evangélico
2022-02-11,Dívidas de impostos de igrejas sobem 20% acima da inflação em 3 anos
2021-05-14,Bolsonaro diz torcer para que STF mantenha decisão de abrir igrejas
2022-01-24,Bolsonaro escala Mourão para ajudar Igreja Universal
2021-04-07,"Entre Lula e Bolsonaro, Igreja Universal decide apoio em agosto"
2022-02-07,Bolsonaro autoriza que igrejas funcionem durante pandemia
2021-05-15,Igreja Universal sinaliza romper com Bolsonaro por causa de crise em Angola
2021-09-05,Bolsonaro diz esperar que STF mantenha igrejas abertas
2021-04-06,Lula e Moro são vítimas de fake news promovidas por evangélicos pró-Bolsonaro
2022-02-07,Congresso perdoa R$ 1 bi em dívidas de igrejas; Bolsonaro precisa sancionar
2021-10-12,"Lobby por evangélico no STF inclui conversas com Bolsonaro, igrejas, Senado e Judiciário"
2021-11-02,"Só Centrão? Evangélicos, agricultores e prefeitos pedem mão a Bolsonaro"
2022-01-24,Igreja Betesda do Ceará se posiciona contra Bolsonaro por meio de carta aberta
2021-12-23,Deputados evangélicos buscam de Bolsonaro a Fux contra fechamento de igrejas
2021-12-13,Moro defende lei contra aborto e imunidade tributária de igrejas em carta a evangélicos
2021-11-21,Visita a Aparecida explicita relação desconfortável entre Bolsonaro e bispos católicos
2021-12-01,O que explica a diferença de tom da Record em relação a Guedes e Bolsonaro
2021-07-21,"'Bolsonaro não é o candidato do coração dos evangélicos', diz antropólogo e pesquisador do segmento religioso no país"
2021-07-30,Bancada evangélica aliada de Bolsonaro tem nova rixa no Congresso
2021-06-09,"Análise | Com Crivella na África, Bolsonaro põe Itamaraty a favor da Igreja Universal"
2021-12-03,Igreja evangélica recebe mais de R$ 3 milhões em propaganda do governo Bolsonaro
2021-10-29,"""Barões evangélicos são parceiros de projeto de Bolsonaro"", diz pastor"
2021-05-12,"Evangélicos também vão às ruas pelo ‘Fora, Bolsonaro’"
2021-12-07,"Bolsonaro, desgastado também entre os evangélicos"
2021-12-16,Bolsonaro faz ofensiva para reforçar laços com evangélicos e ruralistas de olho na reeleição
2021-12-11,"Em culto transmitido em TV pública, Bolsonaro insiste em mentiras sobre ‘fraude’ em eleições e óbitos por Covid-19"
2021-10-30,Evangélicos querem vaga de vice de Bolsonaro
2021-07-22,Diocese de Pádua critica título honorário a Bolsonaro; presidente é alvo de protesto na Itália
2022-02-11,Quem são os evangélicos que rejeitam Bolsonaro?
2021-11-04,Republicanos cobra alianças de Bolsonaro e ameaça desembarque em 2022
2021-09-17,Negociação para legalizar jogos e isentar igrejas de IPTU gera briga entre evangélicos
2021-05-17,"‘Bolsonaro traiu os evangélicos’, diz conselheiro de Sergio Moro"
2021-11-28,"Bolsonaro envergonha evangélico, mas o atrai pela defesa da família, diz antropólogo"
2021-06-05,Guerra política na igreja da paz: a perseguição ao padre Lino por criticar Bolsonaro em missa
2021-06-02,Bolsonaro fala em acabar com taxa para igrejas e descomplicar prestação de contas
2022-01-04,"""É difícil dizer que Bolsonaro é um bom católico"" - 04/11/2021"
2021-07-03,"""Há um conjunto de cristãos que não apoia iniciativas de Bolsonaro"", afirma pastora"
2021-11-15,"Na TV, Bolsonaro diz que ‘não mandou ninguém ficar em casa’ e pede igrejas abertas na pandemia"
